,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
1299,Helena,Montana,46.5927,-112.0361,Cheyenne,Wyoming,41.14,-104.82,520.4489133195932,0
2475,Cheyenne,Wyoming,41.14,-104.82,Helena,Montana,46.5927,-112.0361,520.4489133195932,1
2447,Madison,Wisconsin,43.0748,-89.3838,Charleston,West Virginia,38.3506,-81.6333,520.6424267275122,0
2398,Charleston,West Virginia,38.3506,-81.6333,Madison,Wisconsin,43.0748,-89.3838,520.6424267275122,1
332,Hartford,Connecticut,41.7646,-72.6909,Raleigh,North Carolina,35.7804,-78.6391,522.9568956623622,0
1606,Raleigh,North Carolina,35.7804,-78.6391,Hartford,Connecticut,41.7646,-72.6909,522.9568956623622,1
635,Springfield,Illinios,39.7997,-89.6475,Oklahoma City,Oklahoma,35.473,-97.5171,524.0147518097888,0
1762,Oklahoma City,Oklahoma,35.473,-97.5171,Springfield,Illinios,39.7997,-89.6475,524.0147518097888,1
2291,Richmond,Virginia,37.5385,-77.4343,Nashville,Tennessee,36.1622,-86.7744,525.0146201092917,0
2095,Nashville,Tennessee,36.1622,-86.7744,Richmond,Virginia,37.5385,-77.4343,525.0146201092917,1
741,Des Monies,Iowa,41.5872,-93.6219,Nashville,Tennessee,36.1622,-86.7744,525.3344908531176,0
2064,Nashville,Tennessee,36.1622,-86.7744,Des Monies,Iowa,41.5872,-93.6219,525.3344908531176,1
2065,Nashville,Tennessee,36.1622,-86.7744,Topeka,Kansas,39.049,-95.6776,526.4422644780067,0
791,Topeka,Kansas,39.049,-95.6776,Nashville,Tennessee,36.1622,-86.7744,526.4422644780067,1
347,Hartford,Connecticut,41.7646,-72.6909,Charleston,West Virginia,38.3506,-81.6333,528.265531731381,0
2356,Charleston,West Virginia,38.3506,-81.6333,Hartford,Connecticut,41.7646,-72.6909,528.265531731381,1
2245,Montpelier,Vermont,44.2604,-72.5757,Richmond,Virginia,37.5385,-77.4343,529.1555582175284,0
2294,Richmond,Virginia,37.5385,-77.4343,Montpelier,Vermont,44.2604,-72.5757,529.1555582175284,1
1057,Lansing,Michigan,42.7338,-84.5554,Dover,Delaware,39.1582,-75.5244,531.8948848308024,0
371,Dover,Delaware,39.1582,-75.5244,Lansing,Michigan,42.7338,-84.5554,531.8948848308024,1
1655,Bismarck,North Dakota,46.8083,-100.7837,Denver,Colorado,39.7392,-104.9849,532.155038161234,0
283,Denver,Colorado,39.7392,-104.9849,Bismarck,North Dakota,46.8083,-100.7837,532.155038161234,1
243,Sacramento,California,38.5816,-121.4944,Salt Lake City,Utah,40.766999999999996,-111.8904,532.4370396075319,0
2154,Salt Lake City,Utah,40.766999999999996,-111.8904,Sacramento,California,38.5816,-121.4944,532.4370396075319,1
1675,Bismarck,North Dakota,46.8083,-100.7837,Helena,Montana,46.5927,-112.0361,533.1147473683311,0
1283,Helena,Montana,46.5927,-112.0361,Bismarck,North Dakota,46.8083,-100.7837,533.1147473683311,1
1471,Trenton,New Jersey,40.2171,-74.7429,Lansing,Michigan,42.7338,-84.5554,536.6872603946315,0
1079,Lansing,Michigan,42.7338,-84.5554,Trenton,New Jersey,40.2171,-74.7429,536.6872603946315,1
416,Tallahassee,Florida,30.4381,-84.2809,Frankfort,Kentucky,38.2009,-84.8733,537.5865534383485,0
808,Frankfort,Kentucky,38.2009,-84.8733,Tallahassee,Florida,30.4381,-84.2809,537.5865534383485,1
24,Montgomery,Alabama,32.367,-86.3006,Jefferson City,Missouri,38.5774,-92.1724,541.453649343034,0
1200,Jefferson City,Missouri,38.5774,-92.1724,Montgomery,Alabama,32.367,-86.3006,541.453649343034,1
1582,Albany,New York,42.6512,-73.755,Raleigh,North Carolina,35.7804,-78.6391,541.8898019119083,0
1631,Raleigh,North Carolina,35.7804,-78.6391,Albany,New York,42.6512,-73.755,541.8898019119083,1
1825,Salem,Oregon,44.9392,-123.0331,Helena,Montana,46.5927,-112.0361,541.9017010922552,0
1286,Helena,Montana,46.5927,-112.0361,Salem,Oregon,44.9392,-123.0331,541.9017010922552,1
1973,Columbia,South Carolina,34.0007,-81.0343,Jackson,Mississippi,32.299,-90.1848,542.2003229860719,0
1189,Jackson,Mississippi,32.299,-90.1848,Columbia,South Carolina,34.0007,-81.0343,542.2003229860719,1
600,Springfield,Illinios,39.7997,-89.6475,Montgomery,Alabama,32.367,-86.3006,546.5497294972981,0
12,Montgomery,Alabama,32.367,-86.3006,Springfield,Illinios,39.7997,-89.6475,546.5497294972981,1
474,Atlanta,Georgia,33.7491,-84.3902,Jefferson City,Missouri,38.5774,-92.1724,547.2973237388088,0
1209,Jefferson City,Missouri,38.5774,-92.1724,Atlanta,Georgia,33.7491,-84.3902,547.2973237388088,1
1081,Lansing,Michigan,42.7338,-84.5554,Albany,New York,42.6512,-73.755,548.3130720137274,0
1571,Albany,New York,42.6512,-73.755,Lansing,Michigan,42.7338,-84.5554,548.3130720137274,1
1489,Trenton,New Jersey,40.2171,-74.7429,Columbia,South Carolina,34.0007,-81.0343,551.7994385588894,0
1979,Columbia,South Carolina,34.0007,-81.0343,Trenton,New Jersey,40.2171,-74.7429,551.7994385588894,1
334,Hartford,Connecticut,41.7646,-72.6909,Columbus,Ohio,39.9623,-83.0007,552.7253214264869,0
1706,Columbus,Ohio,39.9623,-83.0007,Hartford,Connecticut,41.7646,-72.6909,552.7253214264869,1
158,Little Rock,Arkansas,34.7465,-92.2896,Tallahassee,Florida,30.4381,-84.2809,553.0155143066459,0
403,Tallahassee,Florida,30.4381,-84.2809,Little Rock,Arkansas,34.7465,-92.2896,553.0155143066459,1
2048,Pierre,South Dakoda,44.3684,-100.354,Madison,Wisconsin,43.0748,-89.3838,554.7677843832504,0
2440,Madison,Wisconsin,43.0748,-89.3838,Pierre,South Dakoda,44.3684,-100.354,554.7677843832504,1
34,Montgomery,Alabama,32.367,-86.3006,Columbus,Ohio,39.9623,-83.0007,556.1854639029838,0
1700,Columbus,Ohio,39.9623,-83.0007,Montgomery,Alabama,32.367,-86.3006,556.1854639029838,1
2485,Cheyenne,Wyoming,41.14,-104.82,Oklahoma City,Oklahoma,35.473,-97.5171,556.6266356061899,0
1799,Oklahoma City,Oklahoma,35.473,-97.5171,Cheyenne,Wyoming,41.14,-104.82,556.6266356061899,1
1313,Lincoln,Nebraska,40.8,-96.6678,Indianapolis,Indiana,39.7683,-86.1584,558.3226753182333,0
676,Indianapolis,Indiana,39.7683,-86.1584,Lincoln,Nebraska,40.8,-96.6678,558.3226753182333,1
1165,Jackson,Mississippi,32.299,-90.1848,Topeka,Kansas,39.049,-95.6776,558.9718189715556,0
773,Topeka,Kansas,39.049,-95.6776,Jackson,Mississippi,32.299,-90.1848,558.9718189715556,1
829,Frankfort,Kentucky,38.2009,-84.8733,Trenton,New Jersey,40.2171,-74.7429,559.7729459724516,0
1466,Trenton,New Jersey,40.2171,-74.7429,Frankfort,Kentucky,38.2009,-84.8733,559.7729459724516,1
1163,Jackson,Mississippi,32.299,-90.1848,Indianapolis,Indiana,39.7683,-86.1584,562.9873705713521,0
673,Indianapolis,Indiana,39.7683,-86.1584,Jackson,Mississippi,32.299,-90.1848,562.9873705713521,1
874,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Jefferson City,Missouri,38.5774,-92.1724,564.7830918168701,0
1217,Jefferson City,Missouri,38.5774,-92.1724,Baton Rouge,Louisiana,30.445999999999998,-91.1874,564.7830918168701,1
2327,Olympia,Washington,47.0451,-122.895,Carson City,Neveda,39.1695,-119.766,566.6296825638101,0
1396,Carson City,Neveda,39.1695,-119.766,Olympia,Washington,47.0451,-122.895,566.6296825638101,1
1714,Columbus,Ohio,39.9623,-83.0007,Des Monies,Iowa,41.5872,-93.6219,566.7474974774137,0
734,Des Monies,Iowa,41.5872,-93.6219,Columbus,Ohio,39.9623,-83.0007,566.7474974774137,1
2358,Charleston,West Virginia,38.3506,-81.6333,Tallahassee,Florida,30.4381,-84.2809,567.2573089912265,0
447,Tallahassee,Florida,30.4381,-84.2809,Charleston,West Virginia,38.3506,-81.6333,567.2573089912265,1
657,Indianapolis,Indiana,39.7683,-86.1584,Dover,Delaware,39.1582,-75.5244,568.6475778393618,0
363,Dover,Delaware,39.1582,-75.5244,Indianapolis,Indiana,39.7683,-86.1584,568.6475778393618,1
469,Atlanta,Georgia,33.7491,-84.3902,Annapolis,Maryland,38.9786,-76.4928,568.6567870226601,0
959,Annapolis,Maryland,38.9786,-76.4928,Atlanta,Georgia,33.7491,-84.3902,568.6567870226601,1
2374,Charleston,West Virginia,38.3506,-81.6333,Jefferson City,Missouri,38.5774,-92.1724,570.2469750350153,0
1247,Jefferson City,Missouri,38.5774,-92.1724,Charleston,West Virginia,38.3506,-81.6333,570.2469750350153,1
1638,Raleigh,North Carolina,35.7804,-78.6391,Providence,Rhoda Island,41.8249,-71.4136,570.5230479749591,0
1932,Providence,Rhoda Island,41.8249,-71.4136,Raleigh,North Carolina,35.7804,-78.6391,570.5230479749591,1
1082,Lansing,Michigan,42.7338,-84.5554,Raleigh,North Carolina,35.7804,-78.6391,575.1559883301491,0
1621,Raleigh,North Carolina,35.7804,-78.6391,Lansing,Michigan,42.7338,-84.5554,575.1559883301491,1
2464,Cheyenne,Wyoming,41.14,-104.82,Des Monies,Iowa,41.5872,-93.6219,581.291327202771,0
749,Des Monies,Iowa,41.5872,-93.6219,Cheyenne,Wyoming,41.14,-104.82,581.291327202771,1
1240,Jefferson City,Missouri,38.5774,-92.1724,Pierre,South Dakoda,44.3684,-100.354,582.2920908601583,0
2024,Pierre,South Dakoda,44.3684,-100.354,Jefferson City,Missouri,38.5774,-92.1724,582.2920908601583,1
127,Phoenix,Arizona,33.4486,-112.0773,Carson City,Neveda,39.1695,-119.766,582.4268747936387,0
1352,Carson City,Neveda,39.1695,-119.766,Phoenix,Arizona,33.4486,-112.0773,582.4268747936387,1
815,Frankfort,Kentucky,38.2009,-84.8733,Topeka,Kansas,39.049,-95.6776,585.9751094563065,0
766,Topeka,Kansas,39.049,-95.6776,Frankfort,Kentucky,38.2009,-84.8733,585.9751094563065,1
2025,Pierre,South Dakoda,44.3684,-100.354,Helena,Montana,46.5927,-112.0361,585.9949112995104,0
1290,Helena,Montana,46.5927,-112.0361,Pierre,South Dakoda,44.3684,-100.354,585.9949112995104,1
105,Phoenix,Arizona,33.4486,-112.0773,Denver,Colorado,39.7392,-104.9849,586.036702281795,0
252,Denver,Colorado,39.7392,-104.9849,Phoenix,Arizona,33.4486,-112.0773,586.036702281795,1
246,Sacramento,California,38.5816,-121.4944,Olympia,Washington,47.0451,-122.895,589.2213036911074,0
2304,Olympia,Washington,47.0451,-122.895,Sacramento,California,38.5816,-121.4944,589.2213036911074,1
2388,Charleston,West Virginia,38.3506,-81.6333,Providence,Rhoda Island,41.8249,-71.4136,590.8283517444071,0
1947,Providence,Rhoda Island,41.8249,-71.4136,Charleston,West Virginia,38.3506,-81.6333,590.8283517444071,1
275,Denver,Colorado,39.7392,-104.9849,Helena,Montana,46.5927,-112.0361,591.6909936928553,0
1255,Helena,Montana,46.5927,-112.0361,Denver,Colorado,39.7392,-104.9849,591.6909936928553,1
1665,Bismarck,North Dakota,46.8083,-100.7837,Topeka,Kansas,39.049,-95.6776,594.9649155150082,0
783,Topeka,Kansas,39.049,-95.6776,Bismarck,North Dakota,46.8083,-100.7837,594.9649155150082,1
991,Annapolis,Maryland,38.9786,-76.4928,Nashville,Tennessee,36.1622,-86.7744,595.5082528965554,0
2069,Nashville,Tennessee,36.1622,-86.7744,Annapolis,Maryland,38.9786,-76.4928,595.5082528965554,1
198,Little Rock,Arkansas,34.7465,-92.2896,Madison,Wisconsin,43.0748,-89.3838,596.33863302552,0
2403,Madison,Wisconsin,43.0748,-89.3838,Little Rock,Arkansas,34.7465,-92.2896,596.33863302552,1
1791,Oklahoma City,Oklahoma,35.473,-97.5171,Nashville,Tennessee,36.1622,-86.7744,603.6369430895717,0
2085,Nashville,Tennessee,36.1622,-86.7744,Oklahoma City,Oklahoma,35.473,-97.5171,603.6369430895717,1
2130,Austin,Texas,30.2711,-97.7437,Santa Fe,New Mexico,35.687,-105.9378,604.4195181925181,0
1542,Santa Fe,New Mexico,35.687,-105.9378,Austin,Texas,30.2711,-97.7437,604.4195181925181,1
1463,Trenton,New Jersey,40.2171,-74.7429,Indianapolis,Indiana,39.7683,-86.1584,604.8373097924339,0
679,Indianapolis,Indiana,39.7683,-86.1584,Trenton,New Jersey,40.2171,-74.7429,604.8373097924339,1
2461,Cheyenne,Wyoming,41.14,-104.82,Boise,Idaho,43.6166,-116.2008,605.1764860338062,0
599,Boise,Idaho,43.6166,-116.2008,Cheyenne,Wyoming,41.14,-104.82,605.1764860338062,1
1891,Harrisburg,Pennsylvania,40.2663,-76.8861,Nashville,Tennessee,36.1622,-86.7744,606.7725684532799,0
2087,Nashville,Tennessee,36.1622,-86.7744,Harrisburg,Pennsylvania,40.2663,-76.8861,606.7725684532799,1
264,Denver,Colorado,39.7392,-104.9849,Des Monies,Iowa,41.5872,-93.6219,608.7832089041362,0
705,Des Monies,Iowa,41.5872,-93.6219,Denver,Colorado,39.7392,-104.9849,608.7832089041362,1
1515,Santa Fe,New Mexico,35.687,-105.9378,Topeka,Kansas,39.049,-95.6776,609.1463691117581,0
780,Topeka,Kansas,39.049,-95.6776,Santa Fe,New Mexico,35.687,-105.9378,609.1463691117581,1
1094,Lansing,Michigan,42.7338,-84.5554,Montpelier,Vermont,44.2604,-72.5757,609.2427955243617,0
2221,Montpelier,Vermont,44.2604,-72.5757,Lansing,Michigan,42.7338,-84.5554,609.2427955243617,1
1032,Boston,Massachusetts,42.3603,-71.0583,Raleigh,North Carolina,35.7804,-78.6391,609.6278165209413,0
1620,Raleigh,North Carolina,35.7804,-78.6391,Boston,Massachusetts,42.3603,-71.0583,609.6278165209413,1
1056,Lansing,Michigan,42.7338,-84.5554,Hartford,Connecticut,41.7646,-72.6909,610.1692012028537,0
321,Hartford,Connecticut,41.7646,-72.6909,Lansing,Michigan,42.7338,-84.5554,610.1692012028537,1
2234,Montpelier,Vermont,44.2604,-72.5757,Columbus,Ohio,39.9623,-83.0007,610.8485428879012,0
1744,Columbus,Ohio,39.9623,-83.0007,Montpelier,Vermont,44.2604,-72.5757,610.8485428879012,1
1859,Harrisburg,Pennsylvania,40.2663,-76.8861,Atlanta,Georgia,33.7491,-84.3902,611.4225789076113,0
487,Atlanta,Georgia,33.7491,-84.3902,Harrisburg,Pennsylvania,40.2663,-76.8861,611.4225789076113,1
2433,Madison,Wisconsin,43.0748,-89.3838,Bismarck,North Dakota,46.8083,-100.7837,613.7289359960803,0
1698,Bismarck,North Dakota,46.8083,-100.7837,Madison,Wisconsin,43.0748,-89.3838,613.7289359960803,1
1526,Santa Fe,New Mexico,35.687,-105.9378,Lincoln,Nebraska,40.8,-96.6678,614.3225166573144,0
1330,Lincoln,Nebraska,40.8,-96.6678,Santa Fe,New Mexico,35.687,-105.9378,614.3225166573144,1
2268,Richmond,Virginia,37.5385,-77.4343,Augusta,Maine,44.3106,-69.7797,614.9418013927899,0
945,Augusta,Maine,44.3106,-69.7797,Richmond,Virginia,37.5385,-77.4343,614.9418013927899,1
45,Montgomery,Alabama,32.367,-86.3006,Richmond,Virginia,37.5385,-77.4343,615.9816096491254,0
2250,Richmond,Virginia,37.5385,-77.4343,Montgomery,Alabama,32.367,-86.3006,615.9816096491254,1
2115,Austin,Texas,30.2711,-97.7437,Topeka,Kansas,39.049,-95.6776,617.8965155396188,0
792,Topeka,Kansas,39.049,-95.6776,Austin,Texas,30.2711,-97.7437,617.8965155396188,1
457,Atlanta,Georgia,33.7491,-84.3902,Dover,Delaware,39.1582,-75.5244,618.0881678496924,0
359,Dover,Delaware,39.1582,-75.5244,Atlanta,Georgia,33.7491,-84.3902,618.0881678496924,1
1738,Columbus,Ohio,39.9623,-83.0007,Providence,Rhoda Island,41.8249,-71.4136,618.3960995386989,0
1934,Providence,Rhoda Island,41.8249,-71.4136,Columbus,Ohio,39.9623,-83.0007,618.3960995386989,1
1722,Columbus,Ohio,39.9623,-83.0007,St. Paul,Minnesota,44.9504,-93.1015,619.067031822827,0
1134,St. Paul,Minnesota,44.9504,-93.1015,Columbus,Ohio,39.9623,-83.0007,619.067031822827,1
1059,Lansing,Michigan,42.7338,-84.5554,Atlanta,Georgia,33.7491,-84.3902,621.0418427603013,0
471,Atlanta,Georgia,33.7491,-84.3902,Lansing,Michigan,42.7338,-84.5554,621.0418427603013,1
1047,Boston,Massachusetts,42.3603,-71.0583,Charleston,West Virginia,38.3506,-81.6333,621.4866817606578,0
2370,Charleston,West Virginia,38.3506,-81.6333,Boston,Massachusetts,42.3603,-71.0583,621.4866817606578,1
1962,Columbia,South Carolina,34.0007,-81.0343,Springfield,Illinios,39.7997,-89.6475,621.7631130960284,0
639,Springfield,Illinios,39.7997,-89.6475,Columbia,South Carolina,34.0007,-81.0343,621.7631130960284,1
2247,Montpelier,Vermont,44.2604,-72.5757,Charleston,West Virginia,38.3506,-81.6333,622.1997570046366,0
2394,Charleston,West Virginia,38.3506,-81.6333,Montpelier,Vermont,44.2604,-72.5757,622.1997570046366,1
1341,Lincoln,Nebraska,40.8,-96.6678,Nashville,Tennessee,36.1622,-86.7744,623.3264023264298,0
2076,Nashville,Tennessee,36.1622,-86.7744,Lincoln,Nebraska,40.8,-96.6678,623.3264023264298,1
1703,Columbus,Ohio,39.9623,-83.0007,Little Rock,Arkansas,34.7465,-92.2896,624.2443450178374,0
184,Little Rock,Arkansas,34.7465,-92.2896,Columbus,Ohio,39.9623,-83.0007,624.2443450178374,1
1447,Concord,New Hampshire,43.2072,-71.5375,Charleston,West Virginia,38.3506,-81.6333,625.3028314529646,0
2378,Charleston,West Virginia,38.3506,-81.6333,Concord,New Hampshire,43.2072,-71.5375,625.3028314529646,1
2258,Richmond,Virginia,37.5385,-77.4343,Tallahassee,Florida,30.4381,-84.2809,627.8934738431769,0
445,Tallahassee,Florida,30.4381,-84.2809,Richmond,Virginia,37.5385,-77.4343,627.8934738431769,1
822,Frankfort,Kentucky,38.2009,-84.8733,St. Paul,Minnesota,44.9504,-93.1015,630.6834861957191,0
1116,St. Paul,Minnesota,44.9504,-93.1015,Frankfort,Kentucky,38.2009,-84.8733,630.6834861957191,1
640,Springfield,Illinios,39.7997,-89.6475,Pierre,South Dakoda,44.3684,-100.354,632.7452193998389,0
2012,Pierre,South Dakoda,44.3684,-100.354,Springfield,Illinios,39.7997,-89.6475,632.7452193998389,1
2035,Pierre,South Dakoda,44.3684,-100.354,Oklahoma City,Oklahoma,35.473,-97.5171,632.8154039575682,0
1790,Oklahoma City,Oklahoma,35.473,-97.5171,Pierre,South Dakoda,44.3684,-100.354,632.8154039575682,1
1971,Columbia,South Carolina,34.0007,-81.0343,Lansing,Michigan,42.7338,-84.5554,632.864999131405,0
1089,Lansing,Michigan,42.7338,-84.5554,Columbia,South Carolina,34.0007,-81.0343,632.864999131405,1
1728,Columbus,Ohio,39.9623,-83.0007,Concord,New Hampshire,43.2072,-71.5375,632.9655290706397,0
1434,Concord,New Hampshire,43.2072,-71.5375,Columbus,Ohio,39.9623,-83.0007,632.9655290706397,1
1843,Salem,Oregon,44.9392,-123.0331,Salt Lake City,Utah,40.766999999999996,-111.8904,633.1930836423614,0
2186,Salt Lake City,Utah,40.766999999999996,-111.8904,Salem,Oregon,44.9392,-123.0331,633.1930836423614,1
771,Topeka,Kansas,39.049,-95.6776,Lansing,Michigan,42.7338,-84.5554,633.8080332264502,0
1065,Lansing,Michigan,42.7338,-84.5554,Topeka,Kansas,39.049,-95.6776,633.8080332264502,1
104,Phoenix,Arizona,33.4486,-112.0773,Sacramento,California,38.5816,-121.4944,634.2889310102931,0
202,Sacramento,California,38.5816,-121.4944,Phoenix,Arizona,33.4486,-112.0773,634.2889310102931,1
2190,Salt Lake City,Utah,40.766999999999996,-111.8904,Pierre,South Dakoda,44.3684,-100.354,637.0650936352425,0
2043,Pierre,South Dakoda,44.3684,-100.354,Salt Lake City,Utah,40.766999999999996,-111.8904,637.0650936352425,1
555,Boise,Idaho,43.6166,-116.2008,Denver,Colorado,39.7392,-104.9849,637.284657924573,0
261,Denver,Colorado,39.7392,-104.9849,Boise,Idaho,43.6166,-116.2008,637.284657924573,1
1628,Raleigh,North Carolina,35.7804,-78.6391,Concord,New Hampshire,43.2072,-71.5375,637.3854388499968,0
1432,Concord,New Hampshire,43.2072,-71.5375,Raleigh,North Carolina,35.7804,-78.6391,637.3854388499968,1
1197,Jackson,Mississippi,32.299,-90.1848,Charleston,West Virginia,38.3506,-81.6333,637.798671794178,0
2373,Charleston,West Virginia,38.3506,-81.6333,Jackson,Mississippi,32.299,-90.1848,637.798671794178,1
1321,Lincoln,Nebraska,40.8,-96.6678,Lansing,Michigan,42.7338,-84.5554,637.936785239738,0
1076,Lansing,Michigan,42.7338,-84.5554,Lincoln,Nebraska,40.8,-96.6678,637.936785239738,1
197,Little Rock,Arkansas,34.7465,-92.2896,Charleston,West Virginia,38.3506,-81.6333,641.4569870558096,0
2353,Charleston,West Virginia,38.3506,-81.6333,Little Rock,Arkansas,34.7465,-92.2896,641.4569870558096,1
889,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Columbia,South Carolina,34.0007,-81.0343,642.0804864655316,0
1967,Columbia,South Carolina,34.0007,-81.0343,Baton Rouge,Louisiana,30.445999999999998,-91.1874,642.0804864655316,1
1720,Columbus,Ohio,39.9623,-83.0007,Boston,Massachusetts,42.3603,-71.0583,642.5156971600851,0
1034,Boston,Massachusetts,42.3603,-71.0583,Columbus,Ohio,39.9623,-83.0007,642.5156971600851,1
189,Little Rock,Arkansas,34.7465,-92.2896,Columbia,South Carolina,34.0007,-81.0343,643.7925183261915,0
1953,Columbia,South Carolina,34.0007,-81.0343,Little Rock,Arkansas,34.7465,-92.2896,643.7925183261915,1
1277,Helena,Montana,46.5927,-112.0361,Carson City,Neveda,39.1695,-119.766,644.6749822215833,0
1375,Carson City,Neveda,39.1695,-119.766,Helena,Montana,46.5927,-112.0361,644.6749822215833,1
866,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Frankfort,Kentucky,38.2009,-84.8733,645.4844587472751,0
817,Frankfort,Kentucky,38.2009,-84.8733,Baton Rouge,Louisiana,30.445999999999998,-91.1874,645.4844587472751,1
767,Topeka,Kansas,39.049,-95.6776,Baton Rouge,Louisiana,30.445999999999998,-91.1874,646.7293616551126,0
865,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Topeka,Kansas,39.049,-95.6776,646.7293616551126,1
2472,Cheyenne,Wyoming,41.14,-104.82,St. Paul,Minnesota,44.9504,-93.1015,647.0477376103275,0
1149,St. Paul,Minnesota,44.9504,-93.1015,Cheyenne,Wyoming,41.14,-104.82,647.0477376103275,1
391,Dover,Delaware,39.1582,-75.5244,Nashville,Tennessee,36.1622,-86.7744,648.9006894984109,0
2057,Nashville,Tennessee,36.1622,-86.7744,Dover,Delaware,39.1582,-75.5244,648.9006894984109,1
617,Springfield,Illinios,39.7997,-89.6475,Baton Rouge,Louisiana,30.445999999999998,-91.1874,652.2832851251324,0
862,Baton Rouge,Louisiana,30.445999999999998,-91.1874,Springfield,Illinios,39.7997,-89.6475,652.2832851251324,1
413,Tallahassee,Florida,30.4381,-84.2809,Indianapolis,Indiana,39.7683,-86.1584,653.4892763711223,0
658,Indianapolis,Indiana,39.7683,-86.1584,Tallahassee,Florida,30.4381,-84.2809,653.4892763711223,1
826,Frankfort,Kentucky,38.2009,-84.8733,Lincoln,Nebraska,40.8,-96.6678,653.5639061407123,0
1316,Lincoln,Nebraska,40.8,-96.6678,Frankfort,Kentucky,38.2009,-84.8733,653.5639061407123,1
1242,Jefferson City,Missouri,38.5774,-92.1724,Austin,Texas,30.2711,-97.7437,655.7545821328478,0
2124,Austin,Texas,30.2711,-97.7437,Jefferson City,Missouri,38.5774,-92.1724,655.7545821328478,1
1078,Lansing,Michigan,42.7338,-84.5554,Concord,New Hampshire,43.2072,-71.5375,658.48532257046,0
1421,Concord,New Hampshire,43.2072,-71.5375,Lansing,Michigan,42.7338,-84.5554,658.48532257046,1
1566,Albany,New York,42.6512,-73.755,Frankfort,Kentucky,38.2009,-84.8733,660.1506580011197,0
831,Frankfort,Kentucky,38.2009,-84.8733,Albany,New York,42.6512,-73.755,660.1506580011197,1
1612,Raleigh,North Carolina,35.7804,-78.6391,Springfield,Illinios,39.7997,-89.6475,661.7076594004965,0
632,Springfield,Illinios,39.7997,-89.6475,Raleigh,North Carolina,35.7804,-78.6391,661.7076594004965,1
1708,Columbus,Ohio,39.9623,-83.0007,Tallahassee,Florida,30.4381,-84.2809,662.2010472260878,0
434,Tallahassee,Florida,30.4381,-84.2809,Columbus,Ohio,39.9623,-83.0007,662.2010472260878,1
1184,Jackson,Mississippi,32.299,-90.1848,Columbus,Ohio,39.9623,-83.0007,663.8215243557761,0
1723,Columbus,Ohio,39.9623,-83.0007,Jackson,Mississippi,32.299,-90.1848,663.8215243557761,1
149,Phoenix,Arizona,33.4486,-112.0773,Cheyenne,Wyoming,41.14,-104.82,664.1386000000515,0
2452,Cheyenne,Wyoming,41.14,-104.82,Phoenix,Arizona,33.4486,-112.0773,664.1386000000515,1
2232,Montpelier,Vermont,44.2604,-72.5757,Raleigh,North Carolina,35.7804,-78.6391,667.7412554080821,0
1644,Raleigh,North Carolina,35.7804,-78.6391,Montpelier,Vermont,44.2604,-72.5757,667.7412554080821,1
1540,Santa Fe,New Mexico,35.687,-105.9378,Pierre,South Dakoda,44.3684,-100.354,668.4288143209529,0
2030,Pierre,South Dakoda,44.3684,-100.354,Santa Fe,New Mexico,35.687,-105.9378,668.4288143209529,1
723,Des Monies,Iowa,41.5872,-93.6219,Jackson,Mississippi,32.299,-90.1848,669.2796071972573,0
1164,Jackson,Mississippi,32.299,-90.1848,Des Monies,Iowa,41.5872,-93.6219,669.2796071972573,1
2364,Charleston,West Virginia,38.3506,-81.6333,Des Monies,Iowa,41.5872,-93.6219,672.5761226289206,0
747,Des Monies,Iowa,41.5872,-93.6219,Charleston,West Virginia,38.3506,-81.6333,672.5761226289206,1
1898,Harrisburg,Pennsylvania,40.2663,-76.8861,Madison,Wisconsin,43.0748,-89.3838,673.0390386079981,0
2437,Madison,Wisconsin,43.0748,-89.3838,Harrisburg,Pennsylvania,40.2663,-76.8861,673.0390386079981,1
681,Indianapolis,Indiana,39.7683,-86.1584,Albany,New York,42.6512,-73.755,674.2600768103084,0
1563,Albany,New York,42.6512,-73.755,Indianapolis,Indiana,39.7683,-86.1584,674.2600768103084,1
1088,Lansing,Michigan,42.7338,-84.5554,Providence,Rhoda Island,41.8249,-71.4136,674.2634846453368,0
1921,Providence,Rhoda Island,41.8249,-71.4136,Lansing,Michigan,42.7338,-84.5554,674.2634846453368,1
1862,Harrisburg,Pennsylvania,40.2663,-76.8861,Springfield,Illinios,39.7997,-89.6475,675.5129923150234,0
637,Springfield,Illinios,39.7997,-89.6475,Harrisburg,Pennsylvania,40.2663,-76.8861,675.5129923150234,1
2262,Richmond,Virginia,37.5385,-77.4343,Springfield,Illinios,39.7997,-89.6475,676.7371635119729,0
645,Springfield,Illinios,39.7997,-89.6475,Richmond,Virginia,37.5385,-77.4343,676.7371635119729,1
35,Montgomery,Alabama,32.367,-86.3006,Oklahoma City,Oklahoma,35.473,-97.5171,677.690659610901,0
1750,Oklahoma City,Oklahoma,35.473,-97.5171,Montgomery,Alabama,32.367,-86.3006,677.690659610901,1
1715,Columbus,Ohio,39.9623,-83.0007,Topeka,Kansas,39.049,-95.6776,678.37647957074,0
784,Topeka,Kansas,39.049,-95.6776,Columbus,Ohio,39.9623,-83.0007,678.37647957074,1
