,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
1846,Salem,Oregon,44.9392,-123.0331,Olympia,Washington,47.0451,-122.895,145.700176008756,0
2336,Olympia,Washington,47.0451,-122.895,Salem,Oregon,44.9392,-123.0331,145.700176008756,1
9,Montgomery,Alabama,32.367,-86.3006,Atlanta,Georgia,33.7491,-84.3902,146.18271508633393,0
450,Atlanta,Georgia,33.7491,-84.3902,Montgomery,Alabama,32.367,-86.3006,146.18271508633393,1
1018,Boston,Massachusetts,42.3603,-71.0583,Augusta,Maine,44.3106,-69.7797,149.3303500483945,0
920,Augusta,Maine,44.3106,-69.7797,Boston,Massachusetts,42.3603,-71.0583,149.3303500483945,1
329,Hartford,Connecticut,41.7646,-72.6909,Trenton,New Jersey,40.2171,-74.7429,151.3160013893625,0
1456,Trenton,New Jersey,40.2171,-74.7429,Hartford,Connecticut,41.7646,-72.6909,151.3160013893625,1
1044,Boston,Massachusetts,42.3603,-71.0583,Montpelier,Vermont,44.2604,-72.5757,151.88087776805907,0
2220,Montpelier,Vermont,44.2604,-72.5757,Boston,Massachusetts,42.3603,-71.0583,151.88087776805907,1
2257,Richmond,Virginia,37.5385,-77.4343,Dover,Delaware,39.1582,-75.5244,152.46801332576746,0
395,Dover,Delaware,39.1582,-75.5244,Richmond,Virginia,37.5385,-77.4343,152.46801332576746,1
1716,Columbus,Ohio,39.9623,-83.0007,Frankfort,Kentucky,38.2009,-84.8733,157.83242317970743,0
834,Frankfort,Kentucky,38.2009,-84.8733,Columbus,Ohio,39.9623,-83.0007,157.83242317970743,1
624,Springfield,Illinios,39.7997,-89.6475,Jefferson City,Missouri,38.5774,-92.1724,159.46089778240062,0
1212,Jefferson City,Missouri,38.5774,-92.1724,Springfield,Illinios,39.7997,-89.6475,159.46089778240062,1
726,Des Monies,Iowa,41.5872,-93.6219,Lincoln,Nebraska,40.8,-96.6678,167.48318264796234,0
1314,Lincoln,Nebraska,40.8,-96.6678,Des Monies,Iowa,41.5872,-93.6219,167.48318264796234,1
1713,Columbus,Ohio,39.9623,-83.0007,Indianapolis,Indiana,39.7683,-86.1584,168.04109267936465,0
684,Indianapolis,Indiana,39.7683,-86.1584,Columbus,Ohio,39.9623,-83.0007,168.04109267936465,1
2033,Pierre,South Dakoda,44.3684,-100.354,Bismarck,North Dakota,46.8083,-100.7837,169.90878383518876,0
1690,Bismarck,North Dakota,46.8083,-100.7837,Pierre,South Dakoda,44.3684,-100.354,169.90878383518876,1
2206,Montpelier,Vermont,44.2604,-72.5757,Hartford,Connecticut,41.7646,-72.6909,172.59536091021548,0
344,Hartford,Connecticut,41.7646,-72.6909,Montpelier,Vermont,44.2604,-72.5757,172.59536091021548,1
2066,Nashville,Tennessee,36.1622,-86.7744,Frankfort,Kentucky,38.2009,-84.8733,175.52670335718392,0
841,Frankfort,Kentucky,38.2009,-84.8733,Nashville,Tennessee,36.1622,-86.7744,175.52670335718392,1
1481,Trenton,New Jersey,40.2171,-74.7429,Albany,New York,42.6512,-73.755,175.8445805856312,0
1579,Albany,New York,42.6512,-73.755,Trenton,New Jersey,40.2171,-74.7429,175.8445805856312,1
2366,Charleston,West Virginia,38.3506,-81.6333,Frankfort,Kentucky,38.2009,-84.8733,176.09081356859585,0
847,Frankfort,Kentucky,38.2009,-84.8733,Charleston,West Virginia,38.3506,-81.6333,176.09081356859585,1
1944,Providence,Rhoda Island,41.8249,-71.4136,Montpelier,Vermont,44.2604,-72.5757,178.26568738474947,0
2238,Montpelier,Vermont,44.2604,-72.5757,Providence,Rhoda Island,41.8249,-71.4136,178.26568738474947,1
400,Tallahassee,Florida,30.4381,-84.2809,Montgomery,Alabama,32.367,-86.3006,178.78892999314812,0
8,Montgomery,Alabama,32.367,-86.3006,Tallahassee,Florida,30.4381,-84.2809,178.78892999314812,1
1639,Raleigh,North Carolina,35.7804,-78.6391,Columbia,South Carolina,34.0007,-81.0343,183.20361873733066,0
1982,Columbia,South Carolina,34.0007,-81.0343,Raleigh,North Carolina,35.7804,-78.6391,183.20361873733066,1
613,Springfield,Illinios,39.7997,-89.6475,Indianapolis,Indiana,39.7683,-86.1584,185.31496916508976,0
662,Indianapolis,Indiana,39.7683,-86.1584,Springfield,Illinios,39.7997,-89.6475,185.31496916508976,1
938,Augusta,Maine,44.3106,-69.7797,Providence,Rhoda Island,41.8249,-71.4136,190.56981848053226,0
1918,Providence,Rhoda Island,41.8249,-71.4136,Augusta,Maine,44.3106,-69.7797,190.56981848053226,1
2287,Richmond,Virginia,37.5385,-77.4343,Harrisburg,Pennsylvania,40.2663,-76.8861,190.82240276673122,0
1895,Harrisburg,Pennsylvania,40.2663,-76.8861,Richmond,Virginia,37.5385,-77.4343,190.82240276673122,1
1215,Jefferson City,Missouri,38.5774,-92.1724,Topeka,Kansas,39.049,-95.6776,191.5493350987053,0
774,Topeka,Kansas,39.049,-95.6776,Jefferson City,Missouri,38.5774,-92.1724,191.5493350987053,1
489,Atlanta,Georgia,33.7491,-84.3902,Columbia,South Carolina,34.0007,-81.0343,193.346851828462,0
1959,Columbia,South Carolina,34.0007,-81.0343,Atlanta,Georgia,33.7491,-84.3902,193.346851828462,1
1929,Providence,Rhoda Island,41.8249,-71.4136,Trenton,New Jersey,40.2171,-74.7429,206.10076712258325,0
1488,Trenton,New Jersey,40.2171,-74.7429,Providence,Rhoda Island,41.8249,-71.4136,206.10076712258325,1
715,Des Monies,Iowa,41.5872,-93.6219,Topeka,Kansas,39.049,-95.6776,206.16450754946368,0
764,Topeka,Kansas,39.049,-95.6776,Des Monies,Iowa,41.5872,-93.6219,206.16450754946368,1
1084,Lansing,Michigan,42.7338,-84.5554,Columbus,Ohio,39.9623,-83.0007,207.83378253802718,0
1721,Columbus,Ohio,39.9623,-83.0007,Lansing,Michigan,42.7338,-84.5554,207.83378253802718,1
1153,Jackson,Mississippi,32.299,-90.1848,Little Rock,Arkansas,34.7465,-92.2896,208.1273025153128,0
173,Little Rock,Arkansas,34.7465,-92.2896,Jackson,Mississippi,32.299,-90.1848,208.1273025153128,1
2059,Nashville,Tennessee,36.1622,-86.7744,Atlanta,Georgia,33.7491,-84.3902,214.58962348414147,0
491,Atlanta,Georgia,33.7491,-84.3902,Nashville,Tennessee,36.1622,-86.7744,214.58962348414147,1
671,Indianapolis,Indiana,39.7683,-86.1584,Lansing,Michigan,42.7338,-84.5554,221.22774128388974,0
1063,Lansing,Michigan,42.7338,-84.5554,Indianapolis,Indiana,39.7683,-86.1584,221.22774128388974,1
724,Des Monies,Iowa,41.5872,-93.6219,Jefferson City,Missouri,38.5774,-92.1724,221.68529081338912,0
1214,Jefferson City,Missouri,38.5774,-92.1724,Des Monies,Iowa,41.5872,-93.6219,221.68529081338912,1
2422,Madison,Wisconsin,43.0748,-89.3838,St. Paul,Minnesota,44.9504,-93.1015,225.69008871834538,0
1148,St. Paul,Minnesota,44.9504,-93.1015,Madison,Wisconsin,43.0748,-89.3838,225.69008871834538,1
648,Springfield,Illinios,39.7997,-89.6475,Madison,Wisconsin,43.0748,-89.3838,226.77013683955585,0
2412,Madison,Wisconsin,43.0748,-89.3838,Springfield,Illinios,39.7997,-89.6475,226.77013683955585,1
23,Montgomery,Alabama,32.367,-86.3006,Jackson,Mississippi,32.299,-90.1848,226.86956346707194,0
1150,Jackson,Mississippi,32.299,-90.1848,Montgomery,Alabama,32.367,-86.3006,226.86956346707194,1
458,Atlanta,Georgia,33.7491,-84.3902,Tallahassee,Florida,30.4381,-84.2809,228.9291593958896,0
