origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile
Jackson,Mississippi,32.2990384,-90.1847691,Montgomery,Alabama,32.3669656,-86.3006485,226.8648192
Tallahassee,Florida,30.4380832,-84.2809332,Atlanta,Georgia,33.7490987,-84.3901849,228.9301513
Hartford,Connecticut,41.764582,-72.6908547,Augusta,Maine,44.310583,-69.779663,229.2966367
Albany,New York,42.6511674,-73.754968,Augusta,Maine,44.310583,-69.779663,229.9593533
Albany,New York,42.6511674,-73.754968,Harrisburg,Pennsylvania,40.2663107,-76.8861122,231.2072689
Hartford,Connecticut,41.764582,-72.6908547,Dover,Delaware,39.158168,-75.5243682,233.7495114
St. Paul,Minnesota,44.9504037,-93.1015026,Des Monies,Iowa,41.587186,-93.621949,233.9181937
Trenton,New Jersey,40.2170575,-74.7429463,Richmond,Virginia,37.5385087,-77.43428,235.0079715
Charleston,West Virginia,38.3505995,-81.6332812,Richmond,Virginia,37.5385087,-77.43428,235.6224315
Madison,Wisconsin,43.074761,-89.3837613,Des Monies,Iowa,41.587186,-93.621949,239.6763319
Boston,Massachusetts,42.3602534,-71.0582912,Trenton,New Jersey,40.2170575,-74.7429463,241.9468248
Harrisburg,Pennsylvania,40.2663107,-76.8861122,Hartford,Connecticut,41.764582,-72.6908547,242.0125556
Des Monies,Iowa,41.587186,-93.621949,Springfield,Illinios,39.799749,-89.647463,242.1209051
Raleigh,North Carolina,35.7803977,-78.6390989,Charleston,West Virginia,38.3505995,-81.6332812,242.5053963
Madison,Wisconsin,43.074761,-89.3837613,Lansing,Michigan,42.7337712,-84.5553805,245.5413565
Raleigh,North Carolina,35.7803977,-78.6390989,Annapolis,Maryland,38.9786401,-76.492786,250.4918175
Nashville,Tennessee,36.1622296,-86.7743531,Indianapolis,Indiana,39.7683331,-86.1583502,251.4837514
Albany,New York,42.6511674,-73.754968,Dover,Delaware,39.158168,-75.5243682,258.4899622
Indianapolis,Indiana,39.7683331,-86.1583502,Charleston,West Virginia,38.3505995,-81.6332812,261.8309432
Nashville,Tennessee,36.1622296,-86.7743531,Montgomery,Alabama,32.3669656,-86.3006485,263.7002819
Trenton,New Jersey,40.2170575,-74.7429463,Concord,New Hampshire,43.207178,-71.537476,264.6446789
Little Rock,Arkansas,34.7464809,-92.2895948,Jefferson City,Missouri,38.577359,-92.1724265,264.8507102
Topeka,Kansas,39.049011,-95.677556,Oklahoma City,Oklahoma,35.4729886,-97.5170536,267.0500676
Hartford,Connecticut,41.764582,-72.6908547,Annapolis,Maryland,38.9786401,-76.492786,277.7087178
Frankfort,Kentucky,38.2009055,-84.8732836,Springfield,Illinios,39.799749,-89.647463,279.1784193
Annapolis,Maryland,38.9786401,-76.492786,Charleston,West Virginia,38.3505995,-81.6332812,280.7480909
Indianapolis,Indiana,39.7683331,-86.1583502,Madison,Wisconsin,43.074761,-89.3837613,283.0853281
Providence,Rhoda Island,41.824877,-71.413618,Dover,Delaware,39.158168,-75.5243682,283.938017
Jefferson City,Missouri,38.577359,-92.1724265,Lincoln,Nebraska,40.8,-96.667821,284.1284842
Denver,Colorado,39.7392364,-104.9848623,Santa Fe,New Mexico,35.6869996,-105.9377997,284.8699216
Harrisburg,Pennsylvania,40.2663107,-76.8861122,Charleston,West Virginia,38.3505995,-81.6332812,286.2627324
Boise,Idaho,43.61656,-116.200835,Helena,Montana,46.592712,-112.036109,289.0341675
Raleigh,North Carolina,35.7803977,-78.6390989,Dover,Delaware,39.158168,-75.5243682,289.2539161
Annapolis,Maryland,38.9786401,-76.492786,Albany,New York,42.6511674,-73.754968,291.3976586
Boise,Idaho,43.61656,-116.200835,Salt Lake City,Utah,40.7670126,-111.8904308,295.7397536
Springfield,Illinios,39.799749,-89.647463,Nashville,Tennessee,36.1622296,-86.7743531,296.105985
Little Rock,Arkansas,34.7464809,-92.2895948,Oklahoma City,Oklahoma,35.4729886,-97.5170536,299.7554156
Trenton,New Jersey,40.2170575,-74.7429463,Montpelier,Vermont,44.260445,-72.575684,300.6276345
Charleston,West Virginia,38.3505995,-81.6332812,Columbia,South Carolina,34.0007493,-81.0343313,302.4888972
Little Rock,Arkansas,34.7464809,-92.2895948,Baton Rouge,Louisiana,30.4459596,-91.18738,304.073584
Harrisburg,Pennsylvania,40.2663107,-76.8861122,Providence,Rhoda Island,41.824877,-71.413618,304.8479598
Atlanta,Georgia,33.7490987,-84.3901849,Frankfort,Kentucky,38.2009055,-84.8732836,308.8692793
Pierre,South Dakoda,44.368431,-100.354013,Lincoln,Nebraska,40.8,-96.667821,309.7891209
Tallahassee,Florida,30.4380832,-84.2809332,Columbia,South Carolina,34.0007493,-81.0343313,310.8704574
Lansing,Michigan,42.7337712,-84.5553805,Frankfort,Kentucky,38.2009055,-84.8732836,313.7338588
Richmond,Virginia,37.5385087,-77.43428,Columbia,South Carolina,34.0007493,-81.0343313,317.026301
Baton Rouge,Louisiana,30.4459596,-91.18738,Montgomery,Alabama,32.3669656,-86.3006485,317.3229234
Cheyenne,Wyoming,41.14,-104.82,Pierre,South Dakoda,44.368431,-100.354013,317.9560574
Nashville,Tennessee,36.1622296,-86.7743531,Charleston,West Virginia,38.3505995,-81.6332812,320.6471751
Boston,Massachusetts,42.3602534,-71.0582912,Dover,Delaware,39.158168,-75.5243682,321.8496319
Harrisburg,Pennsylvania,40.2663107,-76.8861122,Columbus,Ohio,39.9622601,-83.0007065,323.813369
Raleigh,North Carolina,35.7803977,-78.6390989,Harrisburg,Pennsylvania,40.2663107,-76.8861122,324.3811227
Montgomery,Alabama,32.3669656,-86.3006485,Columbia,South Carolina,34.0007493,-81.0343313,324.8258469
Nashville,Tennessee,36.1622296,-86.7743531,Little Rock,Arkansas,34.7464809,-92.2895948,325.50086
Springfield,Illinios,39.799749,-89.647463,Topeka,Kansas,39.049011,-95.677556,326.0279189
Nashville,Tennessee,36.1622296,-86.7743531,Jackson,Mississippi,32.2990384,-90.1847691,330.502724
Annapolis,Maryland,38.9786401,-76.492786,Providence,Rhoda Island,41.824877,-71.413618,331.8072428
Indianapolis,Indiana,39.7683331,-86.1583502,Jefferson City,Missouri,38.577359,-92.1724265,332.5132417
Springfield,Illinios,39.799749,-89.647463,Lansing,Michigan,42.7337712,-84.5553805,333.2106193
