origin,destination
"Juneau,Alaska,58.30194960000001,-134.419734","Indianapolis,Indiana,39.7683331,-86.1583502"
"Juneau,Alaska,58.30194960000001,-134.419734","Des Monies,Iowa,41.587185999999996,-93.621949"
"Juneau,Alaska,58.30194960000001,-134.419734","Topeka,Kansas,39.049011,-95.67755600000001"
"Juneau,Alaska,58.30194960000001,-134.419734","Frankfort,Kentucky,38.2009055,-84.8732836"
"Juneau,Alaska,58.30194960000001,-134.419734","Baton Rouge,Louisiana,30.445959600000002,-91.18738"
"Juneau,Alaska,58.30194960000001,-134.419734","Augusta,Maine,44.310583,-69.779663"
"Juneau,Alaska,58.30194960000001,-134.419734","Annapolis,Maryland,38.9786401,-76.492786"
"Juneau,Alaska,58.30194960000001,-134.419734","Boston,Massachusetts,42.3602534,-71.0582912"
"Juneau,Alaska,58.30194960000001,-134.419734","Lansing,Michigan,42.73377120000001,-84.5553805"
"Juneau,Alaska,58.30194960000001,-134.419734","St. Paul,Minnesota,44.9504037,-93.10150259999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Jackson,Mississippi,32.29903839999999,-90.1847691"
"Juneau,Alaska,58.30194960000001,-134.419734","Jefferson City,Missouri,38.577359,-92.1724265"
"Juneau,Alaska,58.30194960000001,-134.419734","Helena,Montana,46.592712,-112.03610900000001"
"Juneau,Alaska,58.30194960000001,-134.419734","Lincoln,Nebraska,40.8,-96.66782099999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Carson City,Neveda,39.169461,-119.766035"
"Juneau,Alaska,58.30194960000001,-134.419734","Concord,New Hampshire,43.207178000000006,-71.537476"
"Juneau,Alaska,58.30194960000001,-134.419734","Trenton,New Jersey,40.2170575,-74.7429463"
"Juneau,Alaska,58.30194960000001,-134.419734","Santa Fe,New Mexico,35.68699960000001,-105.9377997"
"Juneau,Alaska,58.30194960000001,-134.419734","Albany,New York,42.6511674,-73.754968"
"Juneau,Alaska,58.30194960000001,-134.419734","Raleigh,North Carolina,35.7803977,-78.63909890000001"
"Juneau,Alaska,58.30194960000001,-134.419734","Bismarck,North Dakota,46.808327,-100.783739"
"Juneau,Alaska,58.30194960000001,-134.419734","Columbus,Ohio,39.9622601,-83.00070649999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Oklahoma City,Oklahoma,35.4729886,-97.5170536"
"Juneau,Alaska,58.30194960000001,-134.419734","Salem,Oregon,44.9391565,-123.033121"
"Juneau,Alaska,58.30194960000001,-134.419734","Harrisburg,Pennsylvania,40.266310700000005,-76.8861122"
"Juneau,Alaska,58.30194960000001,-134.419734","Providence,Rhoda Island,41.824877,-71.413618"
"Juneau,Alaska,58.30194960000001,-134.419734","Columbia,South Carolina,34.000749299999995,-81.03433129999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Pierre,South Dakoda,44.368431,-100.354013"
"Juneau,Alaska,58.30194960000001,-134.419734","Nashville,Tennessee,36.1622296,-86.7743531"
"Juneau,Alaska,58.30194960000001,-134.419734","Austin,Texas,30.2711286,-97.7436995"
"Juneau,Alaska,58.30194960000001,-134.419734","Salt Lake City,Utah,40.7670126,-111.89043079999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Montpelier,Vermont,44.260445000000004,-72.575684"
"Juneau,Alaska,58.30194960000001,-134.419734","Richmond,Virginia,37.53850870000001,-77.43428"
"Juneau,Alaska,58.30194960000001,-134.419734","Olympia,Washington,47.0451022,-122.89500749999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Charleston,West Virginia,38.3505995,-81.6332812"
"Juneau,Alaska,58.30194960000001,-134.419734","Madison,Wisconsin,43.074760999999995,-89.3837613"
"Juneau,Alaska,58.30194960000001,-134.419734","Cheyenne,Wyoming,41.14,-104.82"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Montgomery,Alabama,32.3669656,-86.3006485"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Juneau,Alaska,58.30194960000001,-134.419734"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Phoenix,Arizona,33.448586600000006,-112.0773456"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Little Rock,Arkansas,34.7464809,-92.2895948"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Sacramento,California,38.5815719,-121.49439960000001"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Denver,Colorado,39.7392364,-104.98486229999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Hartford,Connecticut,41.764582,-72.6908547"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Dover,Delaware,39.158167999999996,-75.5243682"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Tallahassee,Florida,30.4380832,-84.2809332"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Atlanta,Georgia,33.749098700000005,-84.39018490000001"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Honolulu,Hawaii,21.3250785,-157.8466442"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Boise,Idaho,43.61656,-116.20083500000001"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Springfield,Illinios,39.799749,-89.647463"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Indianapolis,Indiana,39.7683331,-86.1583502"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Des Monies,Iowa,41.587185999999996,-93.621949"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Topeka,Kansas,39.049011,-95.67755600000001"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Frankfort,Kentucky,38.2009055,-84.8732836"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Baton Rouge,Louisiana,30.445959600000002,-91.18738"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Augusta,Maine,44.310583,-69.779663"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Annapolis,Maryland,38.9786401,-76.492786"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Boston,Massachusetts,42.3602534,-71.0582912"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Lansing,Michigan,42.73377120000001,-84.5553805"
"Phoenix,Arizona,33.448586600000006,-112.0773456","St. Paul,Minnesota,44.9504037,-93.10150259999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Jackson,Mississippi,32.29903839999999,-90.1847691"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Jefferson City,Missouri,38.577359,-92.1724265"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Helena,Montana,46.592712,-112.03610900000001"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Lincoln,Nebraska,40.8,-96.66782099999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Carson City,Neveda,39.169461,-119.766035"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Concord,New Hampshire,43.207178000000006,-71.537476"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Trenton,New Jersey,40.2170575,-74.7429463"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Santa Fe,New Mexico,35.68699960000001,-105.9377997"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Albany,New York,42.6511674,-73.754968"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Raleigh,North Carolina,35.7803977,-78.63909890000001"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Bismarck,North Dakota,46.808327,-100.783739"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Columbus,Ohio,39.9622601,-83.00070649999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Oklahoma City,Oklahoma,35.4729886,-97.5170536"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Salem,Oregon,44.9391565,-123.033121"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Harrisburg,Pennsylvania,40.266310700000005,-76.8861122"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Providence,Rhoda Island,41.824877,-71.413618"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Columbia,South Carolina,34.000749299999995,-81.03433129999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Pierre,South Dakoda,44.368431,-100.354013"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Nashville,Tennessee,36.1622296,-86.7743531"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Austin,Texas,30.2711286,-97.7436995"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Salt Lake City,Utah,40.7670126,-111.89043079999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Montpelier,Vermont,44.260445000000004,-72.575684"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Richmond,Virginia,37.53850870000001,-77.43428"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Olympia,Washington,47.0451022,-122.89500749999999"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Charleston,West Virginia,38.3505995,-81.6332812"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Madison,Wisconsin,43.074760999999995,-89.3837613"
"Phoenix,Arizona,33.448586600000006,-112.0773456","Cheyenne,Wyoming,41.14,-104.82"
"Little Rock,Arkansas,34.7464809,-92.2895948","Montgomery,Alabama,32.3669656,-86.3006485"
"Little Rock,Arkansas,34.7464809,-92.2895948","Juneau,Alaska,58.30194960000001,-134.419734"
"Little Rock,Arkansas,34.7464809,-92.2895948","Phoenix,Arizona,33.448586600000006,-112.0773456"
"Little Rock,Arkansas,34.7464809,-92.2895948","Little Rock,Arkansas,34.7464809,-92.2895948"
"Little Rock,Arkansas,34.7464809,-92.2895948","Sacramento,California,38.5815719,-121.49439960000001"
"Little Rock,Arkansas,34.7464809,-92.2895948","Denver,Colorado,39.7392364,-104.98486229999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Hartford,Connecticut,41.764582,-72.6908547"
"Little Rock,Arkansas,34.7464809,-92.2895948","Dover,Delaware,39.158167999999996,-75.5243682"
"Little Rock,Arkansas,34.7464809,-92.2895948","Tallahassee,Florida,30.4380832,-84.2809332"
"Little Rock,Arkansas,34.7464809,-92.2895948","Atlanta,Georgia,33.749098700000005,-84.39018490000001"
