capital,state,forsearch,geocode
Montgomery,Alabama,Montgomery Alabama,32.3669656 -86.3006485
Juneau,Alaska,Juneau Alaska,58.3019496 -134.419734
Phoenix,Arizona,Phoenix Arizona,33.4485866 -112.0773456
Little Rock,Arkansas,Little Rock Arkansas,34.7464809 -92.2895948
Sacramento,California,Sacramento California,38.5815719 -121.4943996
Denver,Colorado,Denver Colorado,39.7392364 -104.9848623
Hartford,Connecticut,Hartford Connecticut,41.764582 -72.6908547
Dover,Delaware,Dover Delaware,39.158168 -75.5243682
Tallahassee,Florida,Tallahassee Florida,30.4380832 -84.2809332
Atlanta,Georgia,Atlanta Georgia,33.7490987 -84.3901849
Honolulu,Hawaii,Honolulu Hawaii,21.3250785 -157.846644178573
Boise,Idaho,Boise Idaho,43.61656 -116.200835
Springfield,Illinios,Springfield Illinios,na
Indianapolis,Indiana,Indianapolis Indiana,39.7683331 -86.1583502
Des Monies,Iowa,Des Monies Iowa,na
Topeka,Kansas,Topeka Kansas,39.049011 -95.677556
Frankfort,Kentucky,Frankfort Kentucky,38.2009055 -84.8732836
Baton Rouge,Louisiana,Baton Rouge Louisiana,30.4459596 -91.18738
Augusta,Maine,Augusta Maine,44.310583 -69.779663
Annapolis,Maryland,Annapolis Maryland,38.9786401 -76.492786
Boston,Massachusetts,Boston Massachusetts,42.3602534 -71.0582912
Lansing,Michigan,Lansing Michigan,42.7337712 -84.5553805
St. Paul,Minnesota,St. Paul Minnesota,44.9504037 -93.1015026
Jackson,Mississippi,Jackson Mississippi,32.2990384 -90.1847691
Jefferson City,Missouri,Jefferson City Missouri,38.577359 -92.1724265
Helena,Montana,Helena Montana,46.592712 -112.036109
Lincoln,Nebraska,Lincoln Nebraska,40.8 -96.667821
Carson City,Neveda,Carson City Neveda,na
Concord,New Hampshire,Concord New Hampshire,43.207178 -71.537476
Trenton,New Jersey,Trenton New Jersey,40.2170575 -74.7429463
Santa Fe,New Mexico,Santa Fe New Mexico,35.6869996 -105.9377997
Albany,New York,Albany New York,42.6511674 -73.754968
Raleigh,North Carolina,Raleigh North Carolina,35.7803977 -78.6390989
Bismarck,North Dakota,Bismarck North Dakota,46.808327 -100.783739
Columbus,Ohio,Columbus Ohio,39.9622601 -83.0007065
Oklahoma City,Oklahoma,Oklahoma City Oklahoma,35.4729886 -97.5170536
Salem,Oregon,Salem Oregon,44.9391565 -123.033121
Harrisburg,Pennsylvania,Harrisburg Pennsylvania,40.2663107 -76.8861122
Providence,Rhoda Island,Providence Rhoda Island,na
Columbia,South Carolina,Columbia South Carolina,34.0007493 -81.0343313
Pierre,South Dakoda,Pierre South Dakoda,na
Nashville,Tennessee,Nashville Tennessee,36.1622296 -86.7743531
Austin,Texas,Austin Texas,30.2711286 -97.7436995
Salt Lake City,Utah,Salt Lake City Utah,40.7670126 -111.8904308
Montpelier,Vermont,Montpelier Vermont,44.260445 -72.575684
Richmond,Virginia,Richmond Virginia,37.5385087 -77.43428
Olympia,Washington,Olympia Washington,47.0451022 -122.8950075
Charleston,West Virginia,Charleston West Virginia,38.3505995 -81.6332812
Madison,Wisconsin,Madison Wisconsin,43.074761 -89.3837613
Cheyenne,Wyoming,Cheyenne Wyoming,38.040803 -121.336657
